DataHora,Dolar_BRL,Euro_BRL
2026-08-13 16:13:05,5.1894,5.98301
2026-08-13 16:13:10,5.1894,5.98301
2026-08-13 16:20:56,5.1867,5.98015
2026-08-13 16:21:26,5.1867,5.98015
